date,gdpm,Energy.sector,Business.sector,Business.industries,Industrial.production,manufacturing.industries,Durable.good,Information,communication.technology,technology.sector,Public.Sector,Content,media,Cannabis,Agriculture,forestry,fishing.and.hunting,Mining,quarrying,oil.extraction,gas.extraction,Utilities,Construction,Manufacturing,Wholesale.trade,Retail.trade,Transportation,warehousing,cultural.industries,cultural,Finance,insurance,Real.estate,rental,leasing,Professional,scientific,technical.services,Management.companies,Management.enterprises,Administrative.support,waste.management,Educational.services,Health.care,social.assistance,Arts,entertainment,recreation,Accommodation,food.services,Public.administration,perishable,export,import,trade.balance,US.industrial,US..Shipment,Building.Permits,Consumer.confidence.index,inflation,employment,US.employment,gdp.growth,Price.Index,Housing.starts,US.Retail,Shipment,US.Shipment,global.pmi,Inventories,retail.trade,US.retail,US.housing,consumption,expenditure,Services,investment,Residential,Machinery,equipment,Intellectual.property,Farm
06-Oct,0.0720835,3.5538003,-49.6328222,17.0363791,7.2243824,14.1675459,15.6153016,-0.9205498,-10.9799947,-4.0133681,20.9940993,1.8984732,1.2929699,0.3917635,-14.8069092,1.4811314,-9.2775476,3.1200758,14.7910496,31.2561382,35.6780242,0.6608057,-0.3510745,-2.0588046,-24.8444268,-8.6291551,0.938163,-1.8070753,4.2119239,-0.3195071,-1.0305774,-0.8725289,0.8655321,0.4728656,2.3640307,-1.9857923,0.0799246,4.4853863,-7.8029375,1.2990084,22.8533357,-8.3777704,-13.8649657,-3.7473505,7.9668098,-1.113046,-1.0718343,0.8380655,3.2608947,-13.9911324,15.8089322,23.0579,1.8343082,0.1227929,-21.9483319,-2.8529654,-7.006737,-12.7513,-35.456643,2.528519,-0.5396665,-18.5450802,-10.9006789,1.3887867,-33.4900653,6.8513478,2.1135299,-7.006737,36.9327678,-13.7041192,-8.6291551,-33.9298377,20.920758,-0.8873605,21.3468811,-0.8772321,1.4880775,-1.089772,2.2432051,2.4181171,-5.3761287,1.6813556
06-Nov,0.0993999,-2.96764,34.7756482,1.558737,13.7425001,10.2242839,-18.1647907,-1.9853694,27.1495361,15.9637894,5.6055594,-0.7739188,-0.1556354,-10.0399271,11.0389778,-1.4163184,7.700807,-1.6295719,46.1683516,-36.6831554,-47.2393005,-0.3702682,-0.0267694,-0.3742349,39.8483669,-16.446286,-1.8412572,-19.3301696,-18.728679,-4.9461179,5.3202496,1.3723392,-0.9803768,-0.9103009,-0.1773496,-0.3368353,-0.1483934,12.730772,-0.5105104,16.2923815,-21.3046416,-1.294347,-9.2675387,-0.577071,-10.6874065,-0.1288456,4.2339226,-1.1620219,-0.8094406,9.8188945,-11.890836,-6.8779144,-0.9211324,0.4863583,20.2788695,-29.0372186,29.4314917,10.3181357,41.036363,3.7784071,-0.7971661,-0.1309112,9.4514327,3.4290323,0.164155,8.4647731,74.6935266,29.4314917,-30.6800842,-0.6046116,-16.446286,35.8730126,-25.3034085,-0.6271043,-6.0905076,-0.4118396,0.5188973,-0.0223289,-3.7779221,0.795445,0.8771793,-1.993805
06-Dec,0.2769792,-16.3198882,44.8405369,-3.4647092,-3.5824881,-15.1988284,-4.4873904,2.0222221,-8.9740449,-10.4917023,-9.0362243,1.3425639,1.4900218,1.4671756,7.2041548,-5.1323517,2.8128415,1.3641354,-49.2246116,-1.2969814,13.9408478,-0.3208769,0.5462337,0.5393759,0.8365525,19.9522502,-2.8146219,17.9889237,36.8525458,2.5989128,3.1119922,-0.7438701,-0.1821479,-0.1586649,4.348403,-1.808885,0.4387636,-22.0965551,-0.8335027,5.2758917,9.6508883,1.7177909,0.2567123,2.0690604,-0.8974109,3.2441977,-6.8315534,-1.2115677,-10.1948072,-0.8736299,3.2250447,18.0714136,0.9280446,-3.2610396,40.0279256,28.9167549,4.1063867,-1.3699138,5.794944,3.1787383,-1.361308,-16.046964,-1.9158458,-0.7496854,13.1197513,7.2224076,-26.0932422,4.1063867,-3.0878831,-6.2924756,19.9522502,-4.9103924,-12.4340924,3.3831326,-20.5095988,2.6361995,1.1308736,0.5729249,-1.9077936,-1.0507322,-2.4613821,0.739378
07-Jan,-0.0871054,49.0511778,-26.5438834,-14.5572368,-10.5054093,8.9246101,28.1143821,-3.8351673,7.7775623,9.3846142,-5.9743852,-0.3656558,-0.3477041,1.2051277,-2.3077051,3.7229222,-7.5704093,-3.8753404,-11.2802907,12.5091397,10.8816707,-3.4799563,0.9454283,-1.7842979,5.5620909,-1.5493484,0.5913809,1.7037763,-29.0079356,-0.8972362,0.1549591,-2.1009185,0.9880202,-0.5485727,-7.097409,2.1954716,-1.8213943,21.1755458,-11.1680088,-12.4561367,-11.4990973,-2.0434782,-46.4186251,0.4389967,0.6660393,-3.3233568,-1.2741351,1.6181559,7.576377,11.6258175,7.9823588,-19.4200011,-1.5343964,1.2004006,-66.4715136,40.9540879,-2.4518411,8.2175473,27.3586296,-4.3916754,-2.2062086,12.1225938,5.3447119,2.2682874,-7.5774434,-30.5500045,-25.5756868,-2.4518411,0.9315453,6.5118158,-1.5493484,-10.106661,8.1643437,-2.0202055,18.1007162,-2.3109188,-7.7234403,0.3988413,-4.4055316,-1.8022946,1.9961889,-0.2028042
07-Feb,0.2128582,-43.0829641,0.9020597,4.3671125,11.2962788,4.0249136,-10.88296,-1.6244429,-4.4098061,9.6304971,4.2096369,-1.3018033,0.1340408,-4.6906698,-10.7074022,-0.00681,-8.7457542,4.2344863,8.4827742,1.2393248,6.3427194,0.0661983,-1.0971401,0.6688959,1.3831334,0.5250043,1.6299832,-4.5466457,10.8106254,-1.9139298,2.6443311,0.55384,-1.341946,0.1825337,2.3576624,-0.1187949,1.222895,-1.7368645,16.6078158,-26.4012926,0.8616298,-5.3128436,40.996799,-0.5369027,-2.6957078,-2.126418,5.0306757,-5.4969231,0.3097166,-11.0499248,-6.7069801,-17.6979725,1.1808179,-1.0600572,-6.3732438,-27.2267085,-26.1777243,-0.5074398,-27.4377773,4.3977434,-0.0555619,-8.7877619,0.2225414,-4.7061751,-18.878942,28.852517,7.345685,-26.1777243,2.3882244,-11.5199552,0.5250043,-5.1700928,6.944414,-1.1574286,-4.1068905,0.1485358,4.009964,-1.3764927,8.0944612,-0.0521942,4.0080975,-1.5948784
07-Mar,0.0908833,-12.8501317,-14.611207,12.7983275,-25.5035053,-0.4739721,12.9940027,-1.1395009,-7.6617905,-24.2274486,-4.3907047,-2.2816489,-1.3781004,3.5950307,-30.2832058,0.0113491,4.7483299,-0.3393184,48.5747702,-2.6320269,11.2446711,-2.0755368,-1.4955669,0.0818583,-5.1569227,-18.9955265,1.2955894,1.3179433,5.7079605,0.8448503,-1.1330024,-0.3265239,0.8472004,-0.9165154,-2.6718235,-4.054129,0.3183949,-8.5147648,-10.4655075,20.9622477,1.6858161,8.2593838,0.5347223,-0.9425508,-4.8630536,1.899322,-3.4106324,3.605365,2.814873,-13.9397792,-11.3139114,13.2238067,0.2501077,0.2010817,28.8935305,-34.0719326,7.1345319,-13.8464761,-0.1184749,-0.3465046,-0.912545,12.481729,-28.4777882,-3.788395,24.8969791,-0.3006604,-12.8809904,7.1345319,6.191066,37.6206157,-18.9955265,-0.7425751,4.004359,-0.622045,8.2245343,0.0469761,-1.3973309,0.0111497,-1.6951301,0.7056958,-1.2485975,1.8662394
07-Apr,0.055013,18.9652849,14.4744874,-13.2498902,15.5273607,1.336172,-27.5954126,-2.1279547,1.8913535,2.1607443,-9.0807323,2.5843028,-0.2888752,-1.594527,39.3104629,-3.3769542,-4.9629514,0.0990399,-28.7828884,-13.4408861,-15.0375183,-4.6987369,0.0132928,-1.1154201,14.1010166,-8.0559403,-3.1952386,-23.3422636,2.5103696,-1.0835027,-2.4734525,-2.6045832,-0.0230331,1.1986057,-4.1843783,1.2995213,-3.1383058,-8.485289,-4.7046678,-24.8685025,-28.7797949,-2.237423,-9.6519253,-1.1542917,3.9454046,1.5708438,1.3018529,1.2999991,-2.7977635,10.0573473,-1.7385475,0.3401849,-1.2910886,1.2800724,-22.7910746,12.0153867,-15.9265216,12.8335427,4.3476687,-1.9966599,0.5238715,-14.3240742,17.0202453,-6.8095361,-16.8099932,-42.0084663,-25.3352052,-15.9265216,-10.3963644,-35.7112952,-8.0559403,8.1141491,3.1909312,-0.0246653,-10.2455448,-0.3959674,-0.326541,-0.359546,0.142648,-0.5763637,-3.2275399,-2.4207339
07-May,0.1880887,27.805847,1.6958732,4.8216885,2.7360347,10.1327121,7.340223,2.403189,8.0610632,-1.0365008,9.7680049,-0.9591533,-2.6132664,-0.814035,-3.7287275,0.2297224,-2.0673499,0.521441,-32.0731152,2.5950285,-12.9222677,9.0470739,1.8631571,0.3439048,-14.9251035,-10.3619594,2.6113055,10.2051101,-1.5194432,0.890844,1.1987018,1.4195359,0.6270897,1.596602,2.7571926,1.9017275,-0.5260505,0.2808461,17.4094439,29.3645444,20.9897515,1.8578967,-13.6832548,1.1987258,16.6134412,0.1650326,-3.4571905,0.0163275,-0.4276888,3.236064,11.8159176,-0.7938739,1.7004543,0.8598566,28.7468192,44.459227,29.4866657,-3.2429256,-1.1634746,3.1881518,-1.3335404,6.048481,10.479068,1.22963,4.8525856,28.8965883,18.5581431,29.4866657,3.634576,2.5215595,-10.3619594,2.6287297,0.3137084,1.6279053,12.2713366,-0.5311913,3.9452238,1.8460532,-0.4962271,0.4515078,5.0719169,5.0770052
07-Jun,0.1198861,-12.6991214,-39.4201467,-20.5111525,9.3407253,-10.0074286,-12.1944621,-0.0752962,-2.5057097,7.1965736,-1.5616448,0.00779,-1.6053169,2.3782245,-65.0399835,-2.3289228,5.0480565,2.7269547,1.7507057,15.1904977,-9.9423966,-3.4749888,-0.1777109,2.1759814,-4.400542,22.944609,-0.2235008,14.8162806,-8.5951383,1.9332224,3.6713977,-0.0376514,1.3223376,-0.5014946,-0.0224825,-0.1212246,4.5556797,14.2464475,-15.4957949,9.8044707,5.6682702,-1.9008686,28.875695,2.6358812,-19.5663559,-2.5106801,0.2292385,-0.7973867,0.8045822,2.1783534,3.5731294,-16.5034276,-2.3913612,-0.8960758,-18.9217425,5.3104214,-22.446701,0.0197127,-7.1215107,-0.2430921,1.2952719,3.56192,-9.9963134,-2.4028307,7.387027,16.9119168,2.6163443,-22.446701,-0.7137993,-11.42919,22.944609,-6.474085,-17.6143532,0.5186132,-11.8044716,0.3966774,-2.4903271,1.7388896,-1.1468094,-1.3259884,-13.3614527,-1.4992245
07-Jul,-0.0110807,-65.7929004,14.5038106,-4.716154,6.1951641,3.6466637,-6.4322636,1.1051255,-28.5550194,8.9299032,1.291072,1.6692287,4.6706099,0.3510839,52.9795865,6.9397165,8.3065858,0.4480787,0.2832798,-22.5122606,-0.3007078,-4.0396242,-0.2876636,2.7201711,-9.4598924,-14.9096244,-1.5495242,-11.4890484,-15.1968562,-0.1420417,1.8688077,1.364224,0.2702815,-0.6267257,-0.2968554,1.7469349,1.1232752,-8.3809573,1.3780352,-32.9895224,-14.6766002,2.1276958,-15.1891515,-1.9115885,4.437059,0.7407103,-0.0839806,1.0849636,-0.219559,6.4263667,-8.4385901,13.6032759,1.054093,2.9968376,32.0486304,-1.3764894,-7.7568897,4.9732414,-26.0855942,-2.5968229,0.6287988,31.1881728,-3.8599696,5.4717697,14.6045546,-9.3260597,-1.0884937,-7.7568897,1.0888385,9.1224835,-14.9096244,7.9621225,-12.3990259,1.3975483,3.5516689,1.0949797,2.4184384,-0.7963841,2.2007476,0.8762751,0.7350313,-0.2013505
